,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,359.34,0.36,359.34,0.36,0,0.00
Gross Profit,359.34,0.36,359.34,0.36,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,373.83,0.37,,,,
Max Drawdown,429.71,0.43,,,,
Buy & Hold Return,-24862.38,-24.86,,,,
Sharpe Ratio,-4.891,,,,,
Sortino Ratio,-0.98,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,497,,497,,0,
Open PL,0,0.00,,,,
Commission Paid,80.00,,80.00,,0,
Total Closed Trades,11,,11,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,11,,11,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,32.67,1.31,32.67,1.31,N/A,N/A
Avg Winning Trade,32.67,1.31,32.67,1.31,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,77.13,3.08,77.13,3.08,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,337,,337,,0,
Avg # Bars in Winning Trades,337,,337,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
