,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,184.30,0.18,184.30,0.18,0,0.00
Gross Profit,188.30,0.19,188.30,0.19,0,0.00
Gross Loss,4.00,0.00,4.00,0.00,0,0.00
Max Run-up,210.85,0.21,,,,
Max Drawdown,269.70,0.27,,,,
Buy & Hold Return,65144.79,65.14,,,,
Sharpe Ratio,-5.411,,,,,
Sortino Ratio,-0.983,,,,,
Profit Factor,47.075,,47.075,,N/A,
Max Contracts Held,4194,,4194,,0,
Open PL,-43.29,-0.04,,,,
Commission Paid,48.00,,48.00,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,30.72,1.26,30.72,1.26,N/A,N/A
Avg Winning Trade,31.38,1.26,31.38,1.26,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,67.97,2.72,67.97,2.72,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,117,,117,,0,
Avg # Bars in Winning Trades,117,,117,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
